Timestamp,Threat Type,Source IP,Destination IP,Ports
2025-12-15 21:50:09,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:52:02,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:52:11,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:52:41,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:52:48,Possible DDoS,172.64.155.209,N/A,58538
2025-12-15 21:54:42,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:54:44,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:54:46,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:54:48,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:54:50,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:54:53,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:54:55,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:54:57,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:54:59,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:01,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:04,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:06,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:08,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:10,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:12,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:14,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:16,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:19,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:21,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:24,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:26,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:28,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:30,Possible DDoS,192.168.1.106,N/A,587
2025-12-15 21:55:32,Port Scanning,172.217.194.108,N/A,"[57793, 65218, 57794, 55406, 55407, 55408, 55409, 55410, 55411, 55412, 55413]"
2025-12-15 21:55:34,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:37,Possible DDoS,192.168.1.106,N/A,587
2025-12-15 21:55:40,Port Scanning,172.217.194.108,N/A,"[63031, 64108, 55407, 63028, 63029, 63030, 55413, 63032, 63035, 63036, 63038]"
2025-12-15 21:55:42,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:55:44,Port Scanning,172.217.194.108,N/A,"[63040, 64045, 64046, 55408, 55409, 55410, 55411, 55412, 55413, 63038, 63039]"
2025-12-15 21:55:49,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:56:12,Port Scanning,172.217.194.108,N/A,"[63040, 64045, 55407, 55408, 55409, 55410, 55411, 55412, 63036, 63038, 63039]"
2025-12-15 21:56:14,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:56:24,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:56:27,Possible DDoS,172.64.155.209,N/A,58538
2025-12-15 21:56:29,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 21:56:35,Port Scanning,172.217.194.108,N/A,"[64055, 63032, 55407, 55408, 63030, 63031, 64056, 64057, 63035, 63036, 63038]"
